step	HT	err
621	-0.227518	0.00142479
622	-0.243553	0.00264195
623	-0.249559	0.00199464
624	-0.202454	0.0019068
625	0.0601214	0.0022933
626	-0.108386	0.00198208
627	-0.162012	0.00490449
628	-0.122728	0.00181657
629	-0.122728	0.00181657
630	-0.0310095	0.00683697
631	0.238185	0.00874726
632	0.238185	0.00874726
633	-0.339653	0.00167326
634	-0.33994	0.00104816
635	-0.33994	0.00104816
636	0.00436072	0.00180874
637	-0.149423	0.00459472
638	-0.209464	0.00282307
639	-0.370802	0.00215404
640	-0.080128	0.00313961
641	-0.080128	0.00313961
642	0.219423	0.0023484
643	0.219423	0.0023484
644	-0.390489	0.000760287
645	-0.295607	0.00206004
646	-0.0607028	0.00854961
647	-0.218203	0.00173465
648	-0.218203	0.00173465
649	-0.240506	0.00251967
650	-0.251565	0.00232825
651	0.0987794	0.00909414
652	-0.237544	0.00167793
653	-0.164371	0.00529371
654	-0.156836	0.00455603
655	-0.114051	0.00558028
656	-0.361941	0.00115931
657	0.768016	0.0113484
658	-0.21277	0.00125563
659	0.239627	0.00995565
660	-0.292077	0.00117727
661	-0.292077	0.00117727
662	-0.0498759	0.00632078
663	-0.0498759	0.00632078
664	-0.0895779	0.00174741
665	-0.14854	0.00169245
666	0.275036	0.0120114
667	0.283617	0.0100856
668	-0.15414	0.00475453
669	-0.0889277	0.0021504
670	0.327644	0.00273361
671	0.0221111	0.00271057
672	-0.267455	0.00183518
673	-0.267455	0.00183518
674	-0.267455	0.00183518
675	-0.248183	0.00168146
676	-0.246565	0.00163286
677	-0.221136	0.0015383
678	-0.328554	0.00141242
679	-0.0904758	0.00459342
680	0.475791	0.0131032
681	0.0599227	0.00611648
682	0.0599227	0.00611648
683	2.45599	0.013215
684	1.9569	0.0219359
685	1.9569	0.0219359
686	3.24896	0.0461488
687	3.24896	0.0461488
688	2.51352	0.0345743
689	2.51352	0.0345743
690	2.51352	0.0345743
691	0.332075	0.0102613
692	-0.325436	0.00244612
693	-0.229354	0.00129364
694	0.577979	0.00383913
695	-0.287749	0.00138092
696	-0.287749	0.00138092
697	-0.120571	0.00417171
698	-0.412058	0.000781561
699	0.263558	0.00752403
700	-0.249907	0.00324398
701	0.125281	0.00669463
702	0.0725068	0.00391216
703	-0.363793	0.00107175
704	-0.363793	0.00107175
705	-0.286419	0.00229856
706	-0.297976	0.00240689
707	-0.297976	0.00240689
708	-0.297976	0.00240689
709	-0.287227	0.00148598
710	-0.348452	0.0022622
711	-0.439685	0.000955912
712	-0.0931811	0.00682424
713	-0.100991	0.00535081
714	1.41995	0.025197
715	1.41995	0.025197
716	1.41995	0.025197
717	3.02039	0.0387285
718	3.02039	0.0387285
719	3.02039	0.0387285
720	3.02039	0.0387285
721	2.1346	0.0354661
722	1.56354	0.0219835
723	0.464738	0.0111037
724	0.464738	0.0111037
725	0.464738	0.0111037
726	0.464738	0.0111037
727	0.464738	0.0111037
728	0.464738	0.0111037
729	0.464738	0.0111037
730	-0.11262	0.00461193
731	-0.11262	0.00461193
732	-0.249987	0.00160529
733	-0.127461	0.00486472
734	-0.10754	0.00558793
735	-0.219967	0.00338789
736	-0.219967	0.00338789
737	-0.219967	0.00338789
738	0.928478	0.0168808
739	0.824104	0.019554
740	0.123799	0.00735679
741	0.381348	0.0114702
742	1.51007	0.0243671
743	1.51007	0.0243671
744	1.51007	0.0243671
745	0.328442	0.0125894
746	-0.110405	0.00496058
747	-0.138941	0.00558853
748	-0.205866	0.00140673
749	-0.205866	0.00140673
750	-0.286363	0.00129036
751	-0.286363	0.00129036
752	0.479447	0.0129792
753	1.39295	0.0250216
754	1.39295	0.0250216
755	1.39295	0.0250216
756	1.39295	0.0250216
757	-0.267381	0.00181159
758	-0.24302	0.00158522
759	-0.109567	0.00575072
760	-0.00983654	0.00808677
761	-0.164602	0.00567432
762	-0.225744	0.00363497
763	-0.225744	0.00363497
764	-0.331818	0.00118715
765	-0.331818	0.00118715
766	0.285776	0.00319419
767	0.120112	0.00252461
768	-0.198581	0.00227473
769	0.587534	0.0106324
770	0.587534	0.0106324
771	0.727085	0.00297308
772	-0.148072	0.00233575
773	-0.148072	0.00233575
774	0.0344359	0.00672814
775	0.28165	0.00877785
776	-0.31623	0.000993747
777	-0.0490915	0.00627372
778	-0.25678	0.00223243
779	-0.229085	0.00173088
780	-0.229085	0.00173088
781	-0.229085	0.00173088
782	-0.229085	0.00173088
783	0.0268224	0.00219703
784	-0.385747	0.00185851
785	-0.324519	0.00109932
786	-0.324519	0.00109932
787	-0.324519	0.00109932
788	-0.324519	0.00109932
789	0.0715937	0.00215777
790	-0.129034	0.00178883
791	0.523965	0.00406098
792	0.150894	0.00262157
793	-0.0156034	0.00205441
794	-0.230483	0.00309375
795	0.478428	0.0128809
796	0.917329	0.0143288
797	0.917329	0.0143288
798	0.171935	0.00822961
799	-0.135791	0.00503907
800	0.14778	0.00856784
801	0.14778	0.00856784
802	-0.190454	0.003989
803	-0.24872	0.00232433
804	-0.29363	0.00193799
805	-0.2517	0.00254369
806	0.396875	0.00293955
807	-0.13607	0.00156451
808	0.228751	0.01157
809	0.228751	0.01157
810	-0.28684	0.00186677
811	0.242332	0.00312704
812	0.658605	0.0039882
813	0.658605	0.0039882
