step	mu	sigma
604	0.742753	0.61378
605	0.931766	0.595514
606	0.653401	0.934357
607	0.92807	0.673899
608	0.92807	0.673899
609	0.837689	0.815878
610	0.537173	1.2814
611	0.537173	1.2814
612	0.295871	0.814047
613	0.150245	1.21649
614	0.204034	1.211
615	0.0446324	1.08554
616	0.0446324	1.08554
617	0.337527	0.703055
618	0.337527	0.703055
619	0.194119	0.492432
620	0.194119	0.492432
621	0.460106	0.742526
622	0.00857347	1.03571
623	0.0164505	0.977512
624	0.150184	0.876978
625	0.0116584	0.708445
626	0.176888	0.783354
627	0.147324	1.13311
628	0.134118	0.803821
629	0.134118	0.803821
630	0.354166	1.16056
631	0.838727	1.01547
632	0.838727	1.01547
633	0.852978	0.525048
634	0.628193	0.591951
635	0.628193	0.591951
636	0.365514	0.61832
637	0.607888	0.991715
638	1.00604	0.675646
639	0.818623	0.727178
640	0.689246	0.444028
641	0.689246	0.444028
642	0.415218	0.427381
643	0.415218	0.427381
644	0.671656	0.62628
645	0.591054	0.844328
646	0.556823	1.066
647	0.0570055	0.908222
648	0.0570055	0.908222
649	0.107125	1.03434
650	0.275979	0.961927
651	0.662084	1.08676
652	0.1726	0.919837
653	0.591724	0.98463
654	0.399039	1.08216
655	0.664543	0.979453
656	0.642676	0.689123
657	1.02449	0.993143
658	0.529198	0.593428
659	0.775612	1.06039
660	0.594401	0.575789
661	0.594401	0.575789
662	0.861144	0.883071
663	0.861144	0.883071
664	0.420499	0.630081
665	0.0629588	0.833409
666	0.204883	1.31603
667	0.126919	1.32975
668	0.388342	1.08223
669	0.0189184	0.793017
670	0.339915	0.469931
671	0.547865	0.427455
672	0.482218	0.821553
673	0.482218	0.821553
674	0.482218	0.821553
675	0.390293	0.855603
676	0.378662	0.860626
677	0.527658	0.611758
678	0.967428	0.618191
679	0.884584	0.850583
680	0.670175	1.19973
681	1.04698	0.757661
682	1.04698	0.757661
683	1.46567	0.710395
684	1.13164	1.09573
685	1.13164	1.09573
686	0.778967	1.54884
687	0.778967	1.54884
688	0.80341	1.4625
689	0.80341	1.4625
690	0.80341	1.4625
691	0.623779	1.18807
692	0.92017	0.699283
